eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
1000183,EHB,9208592,1964,7,18,3,40,20.67,,26.035,36.094,52,39,40,98.5,5,5.11,0.3
1000184,ISC,1882903,1964,8,13,10,38,6.5,0.41,25.6,34.2,13.3,9.181,0,33,,4.14,0.3
1000185,ISC,1882954,1964,8,15,8,57,40.799999,0.95,28,33.9,25.8,22.2,90,82,37,2.63,0.3
1000186,EHB,9208689,1964,8,17,0,17,50.99,,25.816,35.307,117,71,27,72.1,9.5,4.83,0.3
1000187,ISC,1883080,1964,8,17,22,30,8.9,0.46,25.6,34.8,14.58,11.1,90,28,27,4.14,0.3
1000188,ISC,1883288,1964,8,22,10,14,55.2,0.21,30.6,36.93,16.86,2.7,90,133,6.6,4.01,0.3
1000189,ISC,1883403,1964,8,24,21,42,46.2,0.44,19.2,40.51,9.283,7.8,90,41,11,4.42,0.3
1000190,ISC,1883420,1964,8,25,7,8,14.9,0.27,28.76,35.5,5.691,6.3,90,28,18,4.56,0.3
1000191,ISC,1883427,1964,8,25,8,5,1.8,0.32,28.67,35.28,8.7,6.522,0,55,10,4.56,0.3
1000192,EHB,9208719,1964,8,25,11,11,52.719999,,28.851,35.668,93,64,26,45.6,6.9,4.97,0.3
1000193,ISC,1883442,1964,8,25,11,42,55.799999,0.25,28.58,35.35,6.2,4.706,0,12,19,4.56,0.3
1000194,EHB,9208721,1964,8,25,14,37,35.299999,,28.778,35.541,124,92,49,33.4,12.6,4.83,0.3
1000195,ISC,1883459,1964,8,25,17,55,38.799999,0.8,28.6,34.6,19.19,18.9,90,95,25,4.28,0.3
1000196,ISC,1883461,1964,8,25,19,20,36.299999,0.96,28.5,34.3,26.59,22.2,90,159,32,4.01,0.3
1000197,EHB,9208730,1964,8,27,19,32,0.68,,28.761,35.522,128,80,28,35,,4.83,0.3
1000198,ISC,1883604,1964,8,28,12,6,18.399999,0.34,19.95,37.8,8.4,6.139,0,61,9.6,4.42,0.3
1000199,ISC,1883672,1964,8,29,19,37,55.2,0.44,28.72,35.29,8.603,10.1,90,35,15,4.7,0.3
1000200,ISC,1883708,1964,8,30,15,52,35,1,21.6,37.3,32.2,18.54,0,0,,4.42,0.3
1000201,ISC,1883762,1964,8,31,19,35,39,1.8,20.2,36.1,59.9,32.29,0,0,,4.28,0.3
1000202,ISC,1881663,1964,9,13,22,53,22.899999,0.53,20.6,41.71,9.1,10.4,90,0,,3.73,0.3
1000203,EHB,9208803,1964,9,18,0,8,47.289999,,28.834,35.541,161,106,35,32.1,,4.83,0.3
1000204,ISC,1881858,1964,9,18,1,44,54.1,0.55,22,38.1,17.8,10.48,0,0,,4.56,0.3
1000205,ISC,1881899,1964,9,18,23,40,39.7,0.7,28.2,33.8,16.6,11.99,0,0,,4.28,0.3
1000206,ISC,1881980,1964,9,21,5,6,9.9,0.42,22.68,39.65,7.9,7,90,33,,4.28,0.3
1000207,ISC,1882297,1964,9,28,21,0,36,2.6,29.2,36.7,46.28,35.5,90,63,55,4.28,0.3
1000208,ISC,1882312,1964,9,29,2,22,39,3.7,20.1,37,109.9,72.69,0,33,,4.14,0.3
1000209,ISC,1882328,1964,9,29,17,0,4,1.4,23.7,38.9,18.14,18.9,90,89,25,4.01,0.3
